*This file is to configure the specifications of each wave.
*The first value is the enemy name.
*The second value is the quantity.
*More enemies can follow in the wave, which has an enemy name and a squantity.
*The Last number, preceeded by an exclamation mark, is the waveInterval or how sparse the blocks will spawn in the wave.
*WARNING, ENSURE ALL WAVES ARE FORMATTED WITH NO EXTRA SPACES AT THE END, OR ANY OTHER CHARACTERS
bluecircle 10 !50
bluecircle 20 !50
bluecircle 10 greencircle 10 !40
greencircle 20 yellowcircle 10 !30
yellowcircle 20 orangecircle 10 !20
orangecircle 20 redcircle 10 !20
redcircle 20 purplecircle 10 !20
bluecircle 100 whitecircle 1 bluecircle 100 !10
greencircle 10 !2
orangecircle 100 !20
redcircle 100 !20
purplecircle 100 !20
purplecircle 100 !10
purplecircle 9000 !1
whitecircle 100 !50
whitecircle 9000 !1
purplecircle 100 !1000
